symbol	abundance	protein_size
2085	YDR249C	1.57	373
2086	MDM31	10.9	579
2087	API2	1.27	109
2088	TEN1	1.67	160
2089	PCL2	6.48	308
2090	ITR2	6.83	609
2091	SWI4	6.54	1093
2092	APM1	43.5	475
2093	HTA1	116	132
2094	PLM2	1.4	521
2095	YOL038C-A	0.218	31
2096	RPS26A	1462	119
2097	GPD2	360	440
2098	FIG2	0.006	1609
2099	SDD4	3.48	1133
2100	SPR3	2.42	512
2101	GEP3	9.11	556
2102	TOS6	72.1	102
2103	ILS1	957	1072
2104	CDC37	186	506
2105	SEC28	277	296
2106	BUR2	34.6	395
2107	SFB3	168	929
2108	YGR038C-B	4.55	1755
2109	VTA1	61.7	330
2110	YAR047C	1.38	106
2111	RPS11A	3347	156
2112	SNZ3	2.8	298
2113	NAR1	3.17	491
2114	MSC2	12.8	724
2115	AYT1	1.56	474
2116	NUF2	17.4	451
2117	SDT1	5.9	280
2118	IES4	26.9	116
2119	NPR2	4.95	615
2120	YIL086C	1.17	102
2121	SWC4	26.8	476
2122	YOR268C	1.52	132
2123	YJL118W	3.8	219
2124	YOR331C	1.8	185
2125	RTN2	47.5	393
2126	TIM18	38.4	192
2127	NOP19	21	196
2128	VPS63	1.47	108
2129	NOB1	90.2	459
2130	OPI1	29.5	404
2131	SLI15	4.67	698
2132	NBP2	6.13	236
2133	DAL3	5.23	195
2134	SSO1	58.2	290
2135	NCE103	152	221
2136	YSH1	134	779
2137	YLR334C	1.52	126
2138	CAF16	64.6	289
2139	CHC1	630	1653
2140	HXT17	1.44	564
2141	MDM35	34.2	86
2142	YKL083W	0.008	204
2143	PUS2	0.028	370
2144	YNL338W	1.13	52
2145	EMP70	49.1	667
2146	CGI121	7.12	181
2147	SAS2	2.34	338
2148	MFB1	17.2	465
2149	PHO84	2318	587
2150	PUT3	7.25	979
2151	VMA6	148	345
2152	HPM1	32.2	377
2153	ERD1	1.84	362
2154	UFE1	7.71	346
2155	SDO1	155	250
2156	RAD1	22.8	1100
2157	YPR137C-B	6.18	1755
2158	QCR9	72.2	66
2159	CDC45	15.2	650
2160	ECM2	31.5	364
2161	JHD2	6.92	728
2162	YPL197C	1.32	137
2163	CSR2	1.93	1121
2164	YOR318C	1.41	101
2165	BYE1	14.9	594
2166	PDI1	237	522
2167	YNL089C	1.42	158
2168	HSF1	6.01	833
2169	PMP3	0.377	55
2170	YHL042W	2.01	150
2171	STB6	3.76	766
2172	VPS68	29.7	184
2173	RPS15	959	142
2174	FEN2	11.7	512
2175	YPL278C	1.31	100
2176	AIP1	215	615
2177	OST5	33.4	86
2178	SMF2	2.77	549
2179	YNL247W	401	767
2180	ALT1	91	592
2181	RPS18A	1518	146
2182	RPL42B	703	106
2183	ADO1	683	340
2184	PAM17	52.8	197
2185	RIX1	164	763
2186	DDP1	52.6	188
2187	YJR084W	23.3	423
2188	HOS1	5.05	470
2189	SPG3	7.27	127
2190	RPA135	298	1203
2191	GEA1	30	1408
2192	NAM8	27.3	523
2193	UTP11	12.5	250
2194	BNR1	12.4	1375
2195	ERG26	145	349
2196	YDR048C	1.1	104
2197	SHQ1	58	507
2198	FRD1	271	470
2199	YOR343W-B	2.09	1770
2200	STR3	3.52	465
2201	SSP120	77.7	234
2202	FRE7	2.83	620
2203	RPL21B	5391	160
2204	YGR066C	1.51	292
2205	UBX3	2.8	455
2206	PZF1	11.9	429
2207	BUD22	50	519
2208	SMC2	33.1	1170
2209	YLR162W	6.13	118
2210	BNI4	9.67	892
2211	ERG10	805	398
2212	ATG29	8.52	213
2213	CMP2	127	604
2214	YPL205C	1.35	114
2215	AIM45	198	344
2216	YJL027C	1.6	138
2217	PDR3	2.36	976
2218	VBA1	1.63	562
2219	TOS4	5.7	489
2220	HEM25	16.1	307
2221	IFH1	14.3	1085
2222	RVS161	314	265
2223	RNA15	43.6	296
2224	VMA9	0.205	73
2225	PXL1	21.7	706
2226	HIR1	8.05	840
2227	ATE1	18.6	503
2228	CLG1	1.83	452
2229	TOF2	5.49	771
2230	HAP3	25.7	144
2231	CEM1	21.6	442
2232	MEH1	36.6	184
2233	NKP2	21.6	153
2234	TFC3	7.58	1160
2235	FRQ1	60.2	190
2236	RPL4B	2730	362
2237	MDH2	121	377
2238	RAD33	14.1	177
2239	MSA1	1.99	629
2240	YMR122C	1.62	124
2241	YLR149C	3	730
2242	YDR261C-C	18.9	440
2243	GIS4	5.14	774
2244	SMC1	77.6	1225
2245	ADH3	525	375
2246	CTS1	75.6	562
2247	YAP7	14.2	245
2248	GPX2	64.1	162
2249	YOR105W	26	108
2250	SIP4	1.47	829
2251	DHR2	10.2	735
2252	YNL018C	1.99	612
2253	MTO1	7.87	669
2254	YDR250C	3.35	91
2255	PHO4	0.758	312
2256	GAL80	7.41	435
2257	BAT1	1003	393
2258	SPS19	4.66	292
2259	YEL076C	1.47	216
2260	TRM3	43.8	1436
2261	MTQ2	26.8	221
2262	CGR1	61.3	120
2263	COS12	1.72	380
2264	NUP84	94.4	726
2265	ARI1	148	347
2266	YBR190W	1.47	103
2267	TY1A-JR1	17.3	440
2268	RKM3	56.1	552
2269	TIF35	39.3	274
2270	FSH2	23.6	223
2271	YGR069W	1.48	111
2272	YPL113C	4.21	396
2273	SKM1	8.8	655
2274	CDC33	564	213
2275	RPO41	148	1351
2276	CTO1	11	317
2277	ARR1	1.5	294
2278	YPS1	37.6	569
2279	HRT1	7.78	121
2280	YLR410W-B	2.55	1770
2281	NUP53	28.9	475
2282	ARK1	15	638
2283	YIL077C	8.82	320
2284	GDA1	176	518
2285	GET2	38.4	285
2286	HPA3	13.3	179
2287	BUL2	8.08	920
2288	ATP25	18.9	612
2289	PRP3	15.4	469
2290	MSC6	90.8	692
2291	HXT15	0.021	567
2292	DYN2	45.6	92
2293	RRN6	3.75	894
2294	COS3	6.21	379
2295	RAD50	12.1	1312
2296	PRR2	1.56	699
2297	YCL012C	7.83	134
2298	ZWF1	341	505
2299	STM1	1197	273
2300	PRE3	138	215
2301	YFL041W-A	0.307	63
2302	AGP1	328	633
2303	YDR464C-A	2.81	62
2304	HSP78	270	811
2305	BRN1	8.63	754
2306	SEC31	320	1273
2307	YLR257W	247	321
2308	SPC25	27.1	221
2309	YKR005C	1.43	525
2310	ZDS1	4.9	915
2311	COA2	0.027	68
2312	CWC2	27.8	339
2313	NOC2	320	710
2314	UTP30	52.4	274
2315	YGR242W	1.65	102
2316	YBL065W	1.19	114
2317	YPK2	13.2	677
2318	NDE1	421	560
2319	RPB9	95	122
2320	YGL193C	1.28	103
2321	YDR261W-B	1.04	1770
2322	YJR115W	2.04	169
2323	LAM5	5.09	674
2324	EGD2	1160	174
2325	RPL1B	3626	217
2326	CWC24	9.56	259
2327	RIM8	12.8	542
2328	YFL015C	1.42	164
2329	RPA49	57.6	415
2330	BET5	2.27	159
2331	DBP3	380	523
2332	YLR317W	1.42	144
2333	TIS11	2.94	285
2334	PNS1	9.45	539
2335	ERG27	103	347
2336	TRX3	27.3	127
2337	YPR010C-A	3.66	72
2338	SSK22	1.79	1331
2339	NTF2	55.7	125
2340	MRPS18	42.9	217
2341	YBR277C	1.52	133
2342	YDR286C	2.57	114
2343	OLE1	87.3	510
2344	YCL002C	1.45	263
2345	YOR366W	1.28	117
2346	STE3	0.051	470
2347	YNL040W	27.6	456
2348	YNL146W	6.71	100
2349	HNT2	20.5	217
2350	PPT1	144	513
2351	SAC6	297	642
2352	PAU16	1.39	123
2353	YMR209C	11.5	457
2354	SPO14	11.4	1683
2355	YMR265C	1.62	461
2356	RIP1	76.8	215
2357	YMR252C	3.22	134
2358	YBL029W	2.59	376
2359	BET1	8.38	142
2360	RNH1	3	348
2361	CDC10	153	322
2362	BAT2	359	376
2363	YJR085C	23.2	105
2364	MFM1	4.84	413
2365	YKL165C-A	1.71	77
2366	BUD13	8.72	266
2367	MRPS28	74.1	286
2368	YBL083C	1.47	141
2369	EXO1	6.32	702
2370	FLO8	1.83	799
2371	TED1	30.1	473
2372	SEO1	1.47	593
2373	ECM11	3.66	302
2374	CWC27	19.5	301
2375	YDL026W	0.208	103
2376	YKL023W	22.1	277
2377	YMR253C	7.5	414
2378	NUD1	13.1	851
2379	ERO1	104	563
2380	DNF2	26.4	1612
2381	PEX32	1.94	413
2382	EDC2	23.6	145
2383	MOT1	90.6	1867
2384	QCR8	81.3	94
2385	PAU14	1.14	120
2386	YHR131C	3.35	850
2387	RRF1	25.6	230
2388	YOL050C	1.42	106
2389	POL2	26.2	2222
2390	ART2	0.266	61
2391	IRC10	2.78	586
2392	YOR053W	1.49	113
2393	PFS2	61.9	465
2394	POA1	21.6	177
2395	DBF4	6.8	704
2396	NCS2	31.6	493
2397	MNN1	60.7	762
2398	PMA2	1074	947
2399	YDL187C	1.33	109
2400	PMI40	260	429
2401	NAG1	0.021	163
2402	NPL6	50.1	435
2403	RPL38	922	78
2404	SAK1	7.6	1142
2405	SEC20	43.6	383
2406	MDM12	9.04	271
2407	YML083C	1.7	418
2408	CLB4	1.33	460
2409	FMN1	9.03	218
2410	RRT2	28.9	387
2411	DNA2	23.4	1522
2412	RTS1	46.8	757
2413	SKI3	142	1432
2414	SHY1	34.2	389
2415	INP54	12.5	384
2416	ECM4	17.6	370
2417	BRL1	12.3	471
2418	ITT1	5.78	464
2419	GCD6	389	712
2420	YKR047W	1.82	101
2421	PSR1	51.7	427
2422	SPO75	1.37	868
2423	YHR219W	1.37	624
2424	FMP30	4.63	468
2425	RPS26B	4094	119
2426	RPT5	82.1	434
2427	OSH2	38.5	1283
2428	SPO11	1.73	398
2429	YJL070C	10.4	888
2430	YDL109C	3.66	647
2431	YNL320W	4.28	284
2432	CRZ1	31.1	678
2433	DYN3	11.1	312
2434	REX4	44.4	289
2435	BOR1	7.12	576
2436	YGL123C-A	0.224	76
2437	SEC65	68	273
2438	WIP1	0.05	89
2439	GEF1	3.92	779
2440	YAL037W	1.44	267
2441	YOR392W	1.51	147
2442	MUB1	0.845	620
2443	YIR042C	1.5	236
2444	VHC1	2.78	1120
2445	YRB1	360	201
2446	TAF6	77.9	516
2447	GPI2	6.25	280
2448	SRL1	13.5	210
2449	TWF1	49.7	332
2450	BGL2	424	313
2451	PML39	16.9	334
2452	CKA1	105	372
2453	YPL114W	1.46	139
2454	YLR456W	5.56	204
2455	MET4	30.1	672
2456	RPL19A	1440	189
2457	SIR4	15.9	1358
2458	FAR10	0.179	478
2459	KTI12	46.4	313
2460	OM45	240	393
2461	DIA4	9.34	446
2462	CIN8	4.34	1000
2463	SHE9	4.02	456
2464	YIP5	9.77	310
2465	NSA1	60.9	463
2466	YMR102C	13.4	834
2467	YLR173W	1.19	608
2468	GIC2	11.6	383
2469	BUD3	9.04	1636
2470	RTC3	103	111
2471	SPS18	1.38	300
2472	SIP1	9.39	815
2473	ALD2	39.9	506
2474	BNI5	37.4	448
2475	PPZ2	5.2	710
2476	ECM27	1.45	725
2477	EGD1	790	157
2478	RAS2	270	322
2479	GTO1	2.02	356
2480	CLF1	17.9	687
2481	LDH1	4.52	375
2482	ERV46	48.2	415
2483	RPS17A	1881	136
2484	SNX3	10.1	162
2485	TMA64	78.4	565
2486	KRE5	9.62	1365
2487	SRC1	31	834
2488	PEP8	21.1	379
2489	ECM14	25	430
2490	ABP1	181	592
2491	DBP1	20.1	617
2492	MVD1	384	396
2493	RPL35A	4151	120
2494	YJL225C	1.37	1758
2495	TRS23	36.7	219
2496	CWC15	8.65	175
2497	YEL008W	1.97	126
2498	LSM1	94	172
2499	CWH41	70.6	833
2500	YNR040W	22	256
2501	YLR307C-A	0.005	87
2502	YSW1	1.73	609
2503	SLG1	37.6	378
2504	MRN1	86.3	612
2505	PAU3	1.38	124
2506	GCD1	152	578
2507	ALY1	5.97	915
2508	DOT1	18.9	582
2509	YIR016W	1.49	265
2510	YGL052W	1.45	101
2511	KRE6	65.4	720
2512	YDL211C	24.5	372
2513	YEL077C	1.52	1277
2514	RPL37A	568	88
2515	SNF12	8.79	566
2516	SKI2	79.6	1287
2517	RPL36A	976	100
2518	LYS12	343	371
2519	PET9	942	318
2520	YGL041C	1.49	67
2521	FUN14	23.5	198
2522	YDR239C	9.22	787
2523	YRF1-4	1.72	1382
2524	BOS1	11.5	244
2525	AI5_ALPHA	0.001	630
2526	CPR6	480	371
2527	DSS4	22.7	143
2528	IKI1	58.7	309
2529	MLH2	5.71	695
2530	MBR1	1.7	339
2531	ARG7	191	441
2532	NEM1	7.17	446
2533	MAK11	60	468
2534	YML119W	2.64	357
2535	PDR8	1.84	701
2536	CCT4	219	528
2537	YER076C	1.49	302
2538	PAU11	1.39	120
2539	FBP26	25.5	452
2540	BPL1	52.8	690
2541	JHD1	7.02	492
2542	YFL051C	1.33	160
2543	NCB2	59.5	146
2544	YGR045C	1.39	120
2545	RPL18A	1372	186
2546	TOM5	20.2	50
2547	PMT3	19.8	753
2548	YDL228C	1.47	213
2549	FUI1	46.3	639
2550	YBR012W-B	4.24	1756
2551	MRPS8	5.35	155
2552	DAL82	1.6	255
2553	YCF1	45.8	1515
2554	DYN1	7.91	4092
2555	NUP82	112	713
2556	NIP7	104	181
2557	POL30	246	258
2558	THI13	1.64	340
2559	RPB3	132	318
2560	LSM8	16.3	109
2561	YLR225C	55.2	407
2562	GRS1	1579	667
2563	PLP2	92.8	286
2564	UBC13	94.3	153
2565	CDC50	10.5	391
2566	YDR061W	35.7	539
2567	TIM23	54.2	222
2568	LST8	27.8	303
2569	LAG2	4.77	660
2570	SKN1	6.54	771
2571	MOT2	78.2	587
2572	IML1	5.31	1584
2573	ARP5	49.5	755
2574	DAL81	7.77	970
2575	PAC2	16.4	518
2576	SUS1	16.1	96
2577	YIL020C-A	0.089	112
2578	IMA2	6.03	589
2579	YEL1	2.05	687
2580	WHI5	18.8	295
2581	VPS64	10.5	604
2582	SPC105	5.74	917
2583	PBP4	93.9	185
2584	VBA2	10.5	474
2585	MSH5	1.21	901
2586	HRD3	3.95	833
2587	THI74	1.38	370
2588	YMR279C	1.48	540
2589	FYV10	11.9	516
2590	YKR011C	23.7	353
2591	CST26	16.5	397
2592	PDP3	34.2	304
2593	PAA1	174	191
2594	GAB1	2.31	394
2595	GRX2	348	143
2596	YPR012W	1.22	84
2597	YKL133C	4.84	463
2598	LAG1	50.4	411
2599	SRO77	2.34	1010
2600	HMRA1	1.52	126
2601	RPS12	3217	143
2602	YMR141C	1.62	102
2603	URM1	19.4	99
2604	YCR097W-A	1.26	88
2605	CNB1	49.1	175
2606	RGA2	10.2	1009
2607	PIK1	16.3	1066
2608	YKL169C	0.611	127
2609	PEX9	1.27	514
2610	RKI1	144	258
2611	YEL068C	6.56	110
2612	NUP192	71.1	1683
2613	YOR072W	1.51	104
2614	THI22	0.016	572
2615	HEL2	52.8	639
2616	YMR013W-A	1.59	26
2617	HIM1	1.66	414
2618	PWP2	168	923
2619	YIL102C	1.09	101
2620	SNF4	182	322
2621	MMP1	4.13	583
2622	SPT2	31.1	333
2623	SSB1	2615	613
2624	YAR053W	1.18	98
2625	FBP1	16.4	348
2626	PDR18	8.32	1333
2627	YPR160C-A	0.343	94
2628	IDH1	214	360
2629	YDR274C	1.48	123
2630	PCM1	201	557
2631	RTC2	1.78	296
2632	SFM1	55.2	213
2633	RRG9	10.1	214
2634	YRF1-2	1.37	1681
2635	SLS1	30.5	643
2636	YAP1	18.2	650
2637	MCH2	1.43	473
2638	FRA1	41.6	749
2639	NUG1	259	520
2640	YOL162W	1.37	215
2641	CPT1	20.8	393
2642	PAM18	53.6	168
2643	ESP1	2.23	1630
2644	FRE5	5.74	694
2645	MF(ALPHA)2	1.61	120
2646	PER1	35.5	357
2647	YLR407W	44.2	228
2648	VIK1	14.9	647
2649	DDI1	61.1	428
2650	ERV41	53.1	352
2651	PEX6	20.4	1030
2652	COQ4	11.5	335
2653	OSW5	25.9	148
2654	YDL180W	2.15	547
2655	YDL032W	2.07	103
2656	THI11	6.42	340
2657	YLR049C	3.57	428
2658	SKT5	37.5	696
2659	PGK1	15913	416
2660	SCC2	24.8	1493
2661	ALG6	8.64	544
2662	YKL065W-A	0.543	73
2663	CHK1	19.3	527
2664	YBR064W	1.54	142
2665	RIM101	18.4	625
2666	RPL20A	762	172
2667	LRS4	16.2	347
2668	YFL019C	1.32	117
2669	HPA2	1.92	156
2670	YLL019W-A	0.843	30
2671	TPM2	238	161
2672	KIP3	15.4	805
2673	SHB17	234	271
2674	NOP15	163	220
2675	ATG41	6.2	136
2676	SYF2	22.7	215
2677	PAU9	1.24	42
2678	YLR157C-C	0.057	43
2679	MDG1	60.7	366
2680	YLR171W	1.6	129
2681	BRF1	33.7	596
2682	BI2	0.006	423
2683	YBL055C	43	418
2684	CTI6	18	506
2685	GET1	69.9	235
2686	YDR433W	1.4	146
2687	BFR2	216	534
2688	YDR535C	1.49	166
2689	PDE1	11.5	369
2690	ECM30	17.5	1274
2691	PRP21	24.6	280
2692	NNR1	15.9	246
2693	UTP15	205	513
2694	ARH1	20.8	493
2695	RAD55	10.4	406
2696	YHL018W	19	120
2697	CKB1	98.5	278
2698	MRPS16	13.2	121
2699	FET3	164	636
2700	HIS4	993	799
2701	MTC5	6.51	1148
2702	YGL188C	1.37	57
2703	GUT2	98.9	649
2704	YGR050C	1.58	118
2705	CUE5	70.2	411
2706	PHS1	59.6	217
2707	YBR138C	3.15	524
2708	YJR037W	1.44	127
2709	MIC27	69.1	234
2710	ECM32	23.4	1121
2711	YME1	195	747
2712	VAR1	14.4	398
2713	RRN9	2.33	365
2714	VMA13	416	478
2715	YNR061C	4.44	219
2716	YER165C-A	0.131	118
2717	LSM12	84.7	187
2718	PEX14	50.9	341
2719	GCD14	76.1	383
2720	VTH1	4.52	1549
2721	AIM24	39	394
2722	CMC1	8.74	111
2723	YOR277C	1.25	102
2724	EDC1	14.3	175
2725	EMC1	111	760
2726	YJR142W	23.8	342
2727	YPL150W	3.53	901
2728	YLR001C	8.87	862
2729	IRC5	13.7	853
2730	YOL107W	15.8	342
2731	PMT5	1.65	743
2732	YHR112C	43.3	378
2733	GLR1	208	483
2734	EFM2	5.66	419
2735	SBH1	17.9	82
2736	SHE2	96	246
2737	SSN2	3.93	1420
2738	VAC17	1.95	423
2739	YCR007C	1.47	239
2740	RPR2	16.2	144
2741	RAD54	2.61	898
2742	YGL242C	11.6	181
2743	CDC123	41.5	360
2744	YOP1	199	180
2745	RPL14A	1800	138
2746	RIM20	28.6	661
2747	YIR020C	1.22	100
2748	RIA1	75.9	1110
2749	CBR1	163	284
2750	ABZ2	8.42	374
2751	TIM12	2.05	109
2752	YBR232C	1.18	119
2753	HAL1	1.52	294
2754	MEX67	49.8	599
2755	ERP1	260	219
2756	YGR117C	19.8	476
2757	COG8	64.9	607
2758	OST1	182	476
2759	YJR096W	136	282
2760	YGL230C	2.33	147
2761	SIP3	42.2	1229
2762	NMD3	248	518
2763	PFA3	21.6	336
2764	SPS100	2.49	326
2765	VPS41	13.2	992
2766	COX19	64.8	98
2767	SUB1	79.8	292
2768	RPL26B	2919	127
2769	YIL054W	5.12	105
2770	MEP3	37.9	489
2771	YDR149C	1.53	235
2772	YPF1	12.8	587
2773	MAK10	28.1	733
2774	ADH6	266	360
2775	TIM17	52.4	158
2776	PEX3	19.2	441
2777	YIL059C	1.25	121
2778	YPT31	136	223
2779	ATG14	1.39	344
2780	NOT5	106	560
2781	ATG34	4.3	412
2782	YLR366W	1.34	101
2783	YMR294W-A	1.53	119
2784	PPZ1	35.1	692
2785	HIR3	11.7	1648
2786	APM4	28	491
2787	IDP2	55.9	412
2788	SHG1	20.8	142
2789	SEN15	356	128
2790	RFU1	5.78	200
2791	SRL4	1.39	281
2792	DER1	3.1	211
2793	SPO22	1.46	975
2794	EMC6	17.5	108
2795	YGL088W	1.63	121
2796	YGR126W	8.25	230
2797	SPR28	16.3	423
2798	ILM1	12.4	203
2799	YPR137C-A	18	440
2800	PGC1	39.8	321
2801	PTC1	13.2	281
2802	RHB1	24	209
2803	ATP6	1.61	259
2804	BDF1	164	686
2805	PTR3	1.19	678
2806	ANR2	41.7	516
2807	SPO73	1.47	143
2808	SPT21	2.46	758
2809	NIS1	6.04	407
2810	RFC3	62	340
2811	RDI1	67.3	202
2812	PRE10	292	288
2813	PRP6	32.7	899
2814	PCS60	128	543
2815	RAD18	1.92	487
2816	GLN3	7.6	730
2817	PRM7	1.35	698
2818	YOR097C	10.4	175
2819	IDP1	448	428
2820	MFA1	255	36
2821	CPR8	6.85	308
2822	ADE8	154	214
2823	MRPL27	27.4	146
2824	YIL161W	21.8	235
2825	CDC40	14.9	455
2826	COX14	67.5	70
2827	YEL074W	1.29	112
2828	YHL037C	1.46	133
2829	YOR316C-A	0.567	69
2830	UTR4	39.7	227
2831	YDR095C	1.69	136
2832	LSM7	61.4	115
2833	NAP1	226	417
2834	DYS1	409	387
2835	GAL83	42.7	417
2836	SFH1	64.9	426
2837	TEX1	24.9	422
2838	YIL174W	0.762	75
2839	SIW14	34.3	281
2840	YGL176C	0.018	554
2841	YNL019C	1.45	284
2842	MOD5	25.1	428
2843	UBX4	38.3	416
2844	YIH1	36.6	258
2845	RPS25A	2850	108
2846	YGR016W	1.62	190
2847	RPL15B	351	204
2848	TCB3	235	1545
2849	SME1	4.13	94
2850	YLR012C	1.3	99
2851	YER034W	24.9	185
2852	PRS2	81.9	318
2853	AIM46	49.4	310
2854	SIM1	15.5	476
2855	YLR156W	3.98	114
2856	RDS3	8.71	107
2857	YDL176W	2.32	708
2858	NDC1	68.7	655
2859	UTP21	47.2	939
2860	CAF120	20.1	1060
2861	TUP1	130	713
2862	SAF1	2.38	637
2863	AIM17	138	465
2864	SYM1	14	197
2865	CUL3	4.56	744
2866	PIR5	1.64	287
2867	RPS23B	1974	145
2868	POL5	110	1022
2869	YML099W-A	0.234	109
2870	SWI6	43.4	803
2871	IRA2	14	3079
2872	PXR1	88.1	271
2873	YPL080C	0.86	108
2874	AAD10	1.59	288
2875	COX5A	82	153
2876	HMS2	19.4	358
2877	PCL5	3.31	229
2878	J1120	1.32	131
2879	IZH4	1.74	312
2880	PEX1	22.4	1043
2881	RTC5	27.9	567
2882	YBL109W	1.43	111
2883	SIZ1	3.27	904
2884	OPT2	1.19	877
2885	STB1	7.77	420
2886	IRC25	14	179
2887	YMR130W	6.32	302
2888	GDE1	156	1223
2889	MPE1	19.6	441
2890	MRX10	7.94	414
2891	CSI1	1.54	295
2892	YPS7	4.88	596
2893	YMR114C	2.25	368
2894	RPN12	356	274
2895	KRE2	378	442
2896	SAW1	9.81	261
2897	SWM1	1.63	170
2898	HER1	13.2	1246
2899	MRT4	466	236
2900	RRG8	16.7	277
2901	RGD2	32.9	714
2902	BDH2	31.6	417
2903	TFB6	27.2	343
2904	YGR283C	35.8	341
2905	YLR123C	1.22	109
2906	UME1	37.6	460
2907	ALG2	31.4	503
2908	RTC6	27.1	93
2909	MMS1	2.39	1407
2910	MEI4	1.34	408
2911	YOR055W	2.12	144
2912	YNL097W-A	0.299	51
2913	YLR296W	1.43	108
2914	YGL214W	1.46	161
2915	SIC1	8	284
2916	NCS6	31.1	359
2917	TRM11	31.8	433
2918	CRM1	212	1084
2919	TDA3	71.3	523
2920	CBF1	193	351
2921	YDL206W	2.25	762
2922	RMD9	70.8	646
2923	GAT2	1.33	560
2924	YRR1	3.36	810
2925	EMC2	109	292
2926	RRM3	5.56	723
2927	YLR031W	1.3	186
2928	ASF1	65	279
2929	YDR537C	1.5	201
2930	HOF1	14.2	669
2931	KAP95	504	861
2932	CTF4	36.6	927
2933	TVP38	97.7	337
2934	CHL1	2.51	861
2935	AIM36	49	255
2936	YHR214C-C	11.8	478
2937	TAZ1	54.9	381
2938	YDR262W	40	272
2939	NFT1	2.11	1218
2940	RSM22	30.1	628
2941	FCY22	0.501	530
2942	YDR034W-B	16.1	51
2943	SRM1	232	482
2944	YDL050C	4.74	123
2945	STE12	21.4	688
2946	RPS22B	984	130
2947	YAR028W	19.3	234
2948	RTR2	13.1	196
2949	CAR1	542	333
2950	YDR401W	1.69	187
2951	CLN3	1.42	580
2952	COX1	6.72	534
2953	ADD66	31.9	267
2954	AAD14	1.42	376
2955	MNN5	116	586
2956	RBD2	107	262
2957	PAU17	1.76	124
2958	AHP1	4084	176
2959	BLI1	20.7	113
2960	YJL032W	0.118	104
2961	CKI1	66.4	582
2962	YER190C-B	0.006	160
2963	SPE1	15.6	466
2964	GIP1	0.099	639
2965	FLC3	7.9	802
2966	COQ2	6.26	372
2967	YBR051W	1.68	116
2968	ENP1	217	483
2969	ASM4	44.7	528
2970	PDR15	43.1	1529
2971	YKL050C	8.6	922
2972	GIM3	140	129
2973	YOR161W-B	0.292	86
2974	SAC1	508	623
2975	NGL3	4.47	505
2976	TDA7	2.42	636
2977	TLG2	3.49	397
2978	LTP1	47.9	161
2979	YBR085C-A	114	85
2980	YBR096W	33.6	230
2981	PET117	1.01	107
2982	PUT4	54.4	627
2983	TIM10	406	93
2984	NHX1	15.9	633
2985	RBA50	30.5	439
2986	PEX10	2.84	337
2987	ACF2	20.6	779
2988	BUB3	12.8	341
2989	CYR1	21.4	2026
2990	BSC1	1.48	328
2991	CIC1	540	376
2992	FPR3	131	411
2993	YIL141W	1.97	129
2994	RPL6B	1351	176
2995	JJJ1	19.1	590
2996	NPR1	41	790
2997	BNA7	2.47	261
2998	TY1A-DR6	19.1	440
2999	AEP2	23.4	580
3000	SLX1	1.48	304
3001	BI3	0.201	517
3002	AHT1	1.55	182
3003	NSR1	833	414
3004	YDR008C	1.55	116
3005	AST1	22.5	429
3006	PTC7	46.6	343
3007	AAH1	366	347
3008	APL6	75.3	809
3009	BUD30	1.79	193
3010	FAD1	2.55	306
3011	ERR2	11.8	437
3012	GET3	249	354
3013	ECM21	15.5	1117
3014	CTF18	3.12	741
3015	TIR4	0.169	487
3016	YOL085C	1.28	113
3017	UBA4	41.9	440
3018	BOI1	61.4	980
3019	HTS1	437	546
3020	TDH2	4220	332
3021	YDR102C	1.27	110
3022	RPS2	1097	254
3023	BBP1	12.7	385
3024	CAR2	568	424
3025	SNN1	9.42	102
3026	YMR304C-A	1.21	116
3027	YLR302C	1.21	120
3028	MPC3	57.1	146
3029	RPL43A	803	92
3030	NOP1	350	327
3031	PCH2	1.19	564
3032	SOK2	9.29	785
3033	SUM1	21.3	1062
3034	PIG2	9.44	538
3035	GNP1	390	663
3036	RSP5	35.1	809
3037	YNK1	178	153
3038	GND1	3195	489
3039	YLR046C	1.42	270
3040	SCS3	14.2	380
3041	CMG1	12.2	274
3042	VMA7	160	118
3043	YNL013C	1.52	125
3044	RPL39	1166	51
3045	YEA6	13	335
3046	YHR070C-A	0.076	136
3047	AFG1	47.4	509
3048	RIB7	2.62	244
3049	GTT2	2.21	233
3050	NPR3	7.89	1146
3051	PSK1	17.5	1356
3052	MSC7	179	644
3053	ASP3-2	0.072	362
3054	LSM4	112	187
3055	YNL054W-A	14.1	440
3056	THI21	5.21	551
3057	YBL053W	1.42	124
3058	YAR1	227	200
3059	MNR2	10.9	969
3060	YBR178W	1.4	124
3061	MSF1	28.8	469
3062	TGL5	9.6	749
3063	RSM10	64.1	203
3064	APE1	85.5	514
3065	MAG2	29.1	670
3066	PSF1	14.5	208
3067	YOR139C	1.44	130
3068	YHL045W	1.46	115
3069	YBR292C	1.43	123
3070	LAP2	98.2	671
3071	PGI1	3343	554
3072	MRP20	69.8	263
3073	SLX8	1.97	274
3074	PRP24	7.33	444
3075	YHR177W	1.88	453
3076	ASN1	1365	572
3077	DET1	68.8	334
3078	SEG2	6.9	1132
3079	EHD3	52.4	500
3080	SEC18	114	758
3081	SSF1	92	453
3082	UBP5	4.41	805
3083	PET127	19.3	800
3084	YPC1	1.25	316
3085	SNF8	9.16	233
3086	MES1	969	751
