mouse	human
Q80Y72	Q9H114
Q80Y73	Q6PI97
Q80Y75	P59910
Q80Y81	Q9BQ52
Q80Y83	Q155Q3
Q80Y84	Q9UGL1
Q80Y86	Q8TD08
Q80Y98	O94830
Q80YA3	Q8NEL9
Q80YA7	Q6V1X1
Q80YA8	Q5IJ48
Q80YA9	Q8WXI2
Q80YC5	P00748
Q80YD1	Q8IYB8
Q80YD6	Q9UGK8
Q80YE4	Q6ZMQ8
Q80YE7	P53355
Q80YF6	
Q80YF9	O14559
Q80YG3	Q8N7A1
Q80YN3	O75363
Q80YP6	Q3SY52
Q80YQ2	Q9ULK4
Q80YQ8	Q9H871
Q80YR2	Q86V87
Q80YR3	Q1XH10
Q80YR4	Q86UK7
Q80YR5	Q14151
Q80YR6	Q99708
Q80YR7	Q9HAW4
Q80YR9	Q8IXT5
Q80YS5	Q9C0I9
Q80YS6	Q8N556
Q80YS9	Q8NE28
Q80YT5	Q8TB22
Q80YT7	Q5VU43
Q80YT9	P57052
Q80YU0	Q9H3Z7
Q80YV2	Q86WB0
Q80YV3	Q9Y4A5
Q80YV4	Q9NVE7
Q80YW0	Q9UIA0
Q80YW5	Q5W0U4
Q80YX1	P24821
Q80YY7	Q5T7W0
Q80Z10	O75129
Q80Z19	Q02817
Q80Z24	Q7Z3B1
Q80Z25	O75665
Q80Z37	Q9NS56
Q80Z38	Q9UPX8
Q80Z71	Q9UQP3
Q80Z96	Q8TAA9
Q80ZA4	Q86WI1
Q80ZC9	Q9UIG4
Q80ZD3	Q86WA9
Q80ZD8	Q86WK6
Q80ZD9	Q86SJ2
Q80ZE3	Q96LC7
Q80ZE4	Q86WK9
Q80ZE5	Q8TEZ7
Q80ZF2	Q86WN2
Q80ZF8	O60242
Q80ZI1	Q6NT89
Q80ZI2	Q5QGT7
Q80ZI6	Q6UWE0
Q80ZJ1	P10114
Q80ZJ6	Q7Z7L7
Q80ZJ7	Q86XE0
Q80ZJ8	Q8N4Y2
Q80ZK0	P82664
Q80ZK9	Q8N5D0
Q80ZM3	Q8IXQ9
Q80ZM7	P52657
Q80ZM8	Q9UJA2
Q80ZN9	Q6YFQ2
Q80ZQ0	Q8TDM5
Q80ZQ3	Q6P047
Q80ZQ5	Q86VZ6
Q80ZQ9	Q9NX38
Q80ZS3	Q9BYN8
Q80ZU0	Q9Y689
Q80ZU4	Q96E16
Q80ZU5	Q5TID7
Q80ZU7	P59826
Q80ZU9	Q96N19
Q80ZV0	Q5TBB1
Q80ZW0	Q8TDR2
Q80ZW2	Q8WUY1
Q80ZX8	Q07617
Q810A1	P17022
Q810A3	Q8N5M4
Q810A5	Q68EN5
Q810A7	Q86XP3
Q810B3	Q3C1V8
Q810B6	Q9P2R3
Q810B7	O94991
Q810B8	Q8IW52
Q810B9	O94933
Q810C0	Q9H156
Q810C1	Q96PX8
Q810D6	Q9BQ67
Q810F0	Q86XR5
Q810F8	O75333
Q810H5	Q9UBC7
Q810I0	Q86XT2
Q810I2	Q86XT4
Q810J8	Q9HBF4
Q810K3	Q8IWX5
Q810K9	A0PJZ3
Q810L3	Q96EP1
Q810L4	Q9GZU3
Q810M1	Q6V702
Q810M5	Q8WVZ1
Q810M6	Q6ZQX7
Q810N5	Q5U649
Q810N6	Q5TZF3
Q810N9	P0C7W6
Q810P2	Q8IXM7
Q810P3	Q16667
Q810Q5	Q9C002
Q810S1	Q9NWR8
Q810S2	A8MZ97
Q810T2	Q8WWL7
Q810U3	O94856
Q810U4	Q92823
Q810V0	O00566
Q810W6	P25024
Q810Z1	Q6JVE6
Q811B1	Q86Y38
Q811B3	P58397
Q811B5	P79522
Q811C2	Q96DT6
Q811D0	Q12959
Q811D2	Q9UPS8
Q811F1	Q5SVQ8
Q811G0	Q3SYG4
Q811H0	B2RXF5
Q811I0	Q5TC12
Q811J3	P48200
Q811L6	O15021
Q811M1	Q53QZ3
Q811P0	Q495N2
Q811P8	A7KAX9
Q811Q4	Q9UKF5
Q811Q9	Q9Y5K3
Q811S7	Q9NZI7
Q811T9	Q9NRI5
Q811U4	Q8IWA4
Q811W0	Q9Y651
Q811W1	Q4LEZ3
Q811W2	Q9NR63
Q812A2	O43295
Q812A3	Q86SG2
Q812A5	P85299
Q812B2	Q86YW7
Q812C9	O75106
Q812E0	Q7Z5Q1
Q812F3	P38567
Q812F8	Q9UQ53
Q812G0	Q9UM21
Q8BFP9	Q15118
Q8BFQ2	Q8NBD8
Q8BFQ3	Q15743
Q8BFQ4	Q6UXN9
Q8BFQ6	Q96SL1
Q8BFQ8	Q8NB37
Q8BFQ9	Q9P2K6
Q8BFR1	Q96H79
Q8BFR2	Q8N475
Q8BFR4	P15586
Q8BFR5	P49411
Q8BFR6	Q8TCF1
Q8BFS6	Q9BRF8
Q8BFS9	Q9NWL6
Q8BFT2	Q9H6D7
Q8BFT6	Q9H9V9
Q8BFT9	Q8N4V2
Q8BFU0	Q6UXX9
Q8BFU1	Q9NUM3
Q8BFU2	Q7L7L0
Q8BFU3	Q8ND24
Q8BFU7	O00398
Q8BFU8	Q8NDX2
Q8BFV2	Q5JVF3
Q8BFV3	Q13115
Q8BFW3	Q5SWA1
Q8BFW4	Q6PJ69
Q8BFW7	Q93052
Q8BFW9	Q8TD20
Q8BFX1	Q5TA31
Q8BFX3	Q9Y597
Q8BFY0	P0C851
Q8BFY6	Q9UBV8
Q8BFY7	Q9BSJ6
Q8BFY9	Q92973
Q8BFZ1	Q5HYJ1
Q8BFZ2	Q8TBJ4
Q8BFZ3	Q562R1
Q8BFZ4	Q9UKT6
Q8BFZ8	Q5TYM5
Q8BFZ9	O94905
Q8BG02	Q9Y2T4
Q8BG07	Q96BZ4
Q8BG09	Q9Y519
Q8BG15	Q05D32
Q8BG16	Q9H2J7
Q8BG17	Q9UGY1
Q8BG18	Q8N987
Q8BG19	Q5T4D3
Q8BG21	Q9UGQ2
Q8BG22	Q9UQC9
Q8BG26	Q9BVN2
Q8BG28	Q8NCR0
Q8BG30	Q9H3P2
Q8BG31	Q8TAG6
Q8BG32	O00231
Q8BG34	Q96LJ8
Q8BG36	Q9Y5R5
Q8BG39	Q7L1I2
Q8BG40	Q9BVA0
Q8BG41	A5LHX3
Q8BG47	Q8N8N0
Q8BG48	O94768
Q8BG50	Q96HH4
Q8BG51	Q8IXI2
Q8BG54	Q9NUV7
Q8BG55	O14626
Q8BG58	Q9NXG6
Q8BG60	Q9H3M7
Q8BG67	Q14156
Q8BG71	Q53H54
Q8BG73	Q9UJC5
Q8BG75	Q66K66
Q8BG79	Q2TBE0
Q8BG80	Q6PJ61
Q8BG81	Q9BY77
Q8BG84	Q6GTX8
Q8BG87	O43151
Q8BG89	"Q70YC5,Q70YC4"
Q8BG92	Q5SYC1
Q8BG93	Q9NV35
Q8BG94	Q86VX2
Q8BG99	Q96KN3
Q8BGA2	Q6ZUX7
Q8BGA3	O43300
Q8BGA5	Q13601
Q8BGA7	Q96N11
Q8BGA8	Q6NUN0
Q8BGA9	Q15070
Q8BGB2	Q9ULT0
Q8BGB5	Q9BT23
Q8BGB7	Q9UHY7
Q8BGB8	Q9Y3A0
Q8BGC0	O43719
Q8BGC1	Q49AR2
Q8BGC3	Q6ZSM3
Q8BGC4	Q8N4Q0
Q8BGC9	Q8IUH2
Q8BGD0	Q9HBI5
Q8BGD4	Q6ZQN7
Q8BGD5	Q8TCG5
Q8BGD6	Q8NBW4
Q8BGD7	Q8IUM7
Q8BGD9	P23588
Q8BGE4	Q92537
Q8BGE5	Q8IYD8
Q8BGE6	Q9Y4P1
Q8BGE7	Q9C030
Q8BGE9	Q9NSD7
Q8BGF3	Q96MX6
Q8BGF6	Q8IZ81
Q8BGF7	Q504Q3
Q8BGF8	Q5M8T2
Q8BGF9	Q96H78
Q8BGG0	Q8IWU4
Q8BGG6	O75425
Q8BGG7	Q8TF42
Q8BGH2	Q9Y512
Q8BGH4	Q9H902
Q8BGH7	Q9NRR3
Q8BGI1	Q9Y225
Q8BGI3	O15503
Q8BGI5	Q7Z412
Q8BGI7	Q96DD0
Q8BGJ0	Q96MV8
Q8BGJ3	A8MU93
Q8BGK2	Q8NDY3
Q8BGK5	Q5T1Q4
Q8BGK6	Q92536
Q8BGK9	Q9UK00
Q8BGL1	Q8N819
Q8BGM5	Q8NFU1
Q8BGM7	Q9UGI9
Q8BGN2	Q8N1A6
Q8BGN3	Q6UWR7
Q8BGN5	Q6P499
Q8BGN6	Q9BZD6
Q8BGN8	Q8TBG9
Q8BGN9	Q9H7X2
Q8BGP5	O75204
Q8BGP6	Q8TBP6
Q8BGQ1	Q9H9C1
Q8BGQ2	Q9H175
Q8BGQ4	Q9UKY4
Q8BGQ6	O75071
Q8BGQ7	P49588
Q8BGR2	Q7L1W4
Q8BGR5	Q14153
Q8BGR6	Q9NXU5
Q8BGR8	Q9P0R6
Q8BGR9	Q8WVY7
Q8BGS0	Q9BXY0
Q8BGS1	Q9HCM4
Q8BGS3	P17029
Q8BGS7	Q9Y6K0
Q8BGT0	Q86WC4
Q8BGT1	Q9NZU0
Q8BGT5	Q8TD30
Q8BGT6	Q8N3F8
Q8BGT7	O75940
Q8BGT8	Q96FC7
Q8BGT9	Q8IXK2
Q8BGU2	Q8IUK8
Q8BGU5	Q8ND76
Q8BGV0	Q96I59
Q8BGV3	P09758
Q8BGV4	Q6NXR4
Q8BGV5	P17098
Q8BGV7	Q8WZ19
Q8BGV8	"Q9NQG6,L0R8F8"
Q8BGV9	Q86TL0
Q8BGW0	Q8N1K5
Q8BGW1	Q9C0B1
Q8BGW2	Q9NX94
Q8BGW3	Q8NDY6
Q8BGW4	Q5VW00
Q8BGW5	Q96AH0
Q8BGW6	Q8WU08
Q8BGW8	Q8N8G2
Q8BGW9	Q30KQ4
Q8BGX0	P36406
Q8BGX1	Q96HM7
Q8BGX2	Q9BSF4
Q8BGX3	Q8N967
Q8BGX4	Q8IZS5
Q8BGX7	Q14159
Q8BGY2	Q9GZV4
Q8BGY3	Q86TE4
Q8BGY4	Q53HC5
Q8BGY5	Q9NV12
Q8BGY6	Q9BYG0
Q8BGY7	Q96ND0
Q8BGY9	Q9GZV3
Q8BGZ1	Q9UM19
Q8BGZ2	Q92567
Q8BGZ3	Q5T6F0
Q8BGZ4	Q9UJX2
Q8BGZ7	O95678
Q8BGZ8	Q8TCW7
Q8BH00	Q9H2A2
Q8BH01	Q6UWJ1
Q8BH02	Q9NXH8
Q8BH04	Q16822
Q8BH05	Q32MQ0
Q8BH06	Q8NFR9
Q8BH07	Q8N6S5
Q8BH10	Q96SN7
Q8BH15	Q9H9A5
Q8BH16	Q9UKC9
Q8BH18	Q9H0C3
Q8BH24	Q92544
Q8BH26	Q8N6I4
Q8BH27	Q9H1U4
Q8BH31	Q8NHS3
Q8BH32	Q5VX71
Q8BH34	O95025
Q8BH35	P07358
Q8BH43	Q9Y6W5
Q8BH44	Q9UQ03
Q8BH47	Q96IW7
Q8BH48	Q9NZ09
Q8BH49	Q8N4B1
Q8BH50	Q96B23
Q8BH51	Q96I36
Q8BH52	Q70SY1
Q8BH53	A5D8W1
Q8BH55	Q8IYQ7
Q8BH57	Q8TAF3
Q8BH58	O75663
Q8BH59	O75746
Q8BH60	Q9HD26
Q8BH61	P00488
Q8BH64	Q9NZN4
Q8BH65	Q8IWF6
Q8BH66	Q8WXF7
Q8BH69	P49903
Q8BH70	Q9UKA2
Q8BH73	Q9NXS2
Q8BH74	P57740
Q8BH75	Q9H4P4
Q8BH79	Q9NW15
Q8BH82	Q6IQ20
Q8BH83	Q96BM1
Q8BH86	Q7Z3D6
Q8BH88	Q8WUY9
Q8BH93	Q8NDC0
Q8BH95	P30084
Q8BH97	Q96D15
Q8BH98	Q6ZNC8
Q8BHA0	Q6PI98
Q8BHA1	Q50LG9
Q8BHA3	Q96FN9
Q8BHA9	Q8TE99
Q8BHB0	Q9Y239
Q8BHB3	Q8IWV1
Q8BHB4	Q9UNX4
Q8BHB7	Q6P387
Q8BHB9	Q96NY7
Q8BHC0	Q9Y5Y7
Q8BHC1	Q96DA2
Q8BHC4	Q8WVC6
Q8BHC7	Q8TEB9
Q8BHC9	Q495W5
Q8BHD0	Q14964
Q8BHD1	Q8TC44
Q8BHD4	A2A2Y4
Q8BHD7	O95758
Q8BHD8	Q9NV79
Q8BHE0	Q96HE9
Q8BHE1	Q9NWZ8
Q8BHE3	Q86WG3
Q8BHE4	Q6UXF1
Q8BHE5	P12645
Q8BHE8	Q8WWC4
Q8BHF7	Q32NB8
Q8BHG1	O43847
Q8BHG2	Q9NWV4
Q8BHG3	Q3MIR4
Q8BHG9	Q9UFW8
Q8BHH1	Q8NBQ7
Q8BHH2	Q9NP90
Q8BHH8	Q8NCR9
Q8BHH9	Q6ZVK1
Q8BHI7	Q9NYP7
Q8BHI9	Q8IY84
Q8BHJ5	Q9BZK7
Q8BHJ6	Q86VE9
Q8BHJ7	P31644
Q8BHJ9	O95391
Q8BHK0	Q9UL42
Q8BHK1	Q7RTP0
Q8BHK2	Q9NY72
Q8BHK3	Q495M3
Q8BHK6	Q9NQ25
Q8BHK9	Q2NKX8
Q8BHL3	Q4KMP7
Q8BHL4	Q8NFJ5
Q8BHL5	Q96JJ3
Q8BHL6	Q9BTP7
Q8BHL7	Q9NRR8
Q8BHL8	Q92530
Q8BHM9	Q6ZWK6
Q8BHN0	Q5SGD2
Q8BHN1	Q9NUQ3
Q8BHN3	Q14697
Q8BHN5	Q8IUH3
Q8BHN7	Q8N999
Q8BHN9	Q96F83
Q8BHP2	Q86Y26
Q8BHP7	Q68BL7
Q8BHR2	Q8TC92
Q8BHR8	Q9H6J7
Q8BHS3	Q9NW64
Q8BHS6	Q9UH62
Q8BHS8	Q9NX95
Q8BHT6	Q6Y288
Q8BHT7	Q92546
Q8BHW2	Q8WVF1
Q8BHW5	Q5JRV8
Q8BHW6	Q7Z572
Q8BHW9	Q499Z3
Q8BHX1	Q96CS2
Q8BHX3	Q53HL2
Q8BHY2	Q9BVI4
Q8BHY3	Q5XXA6
Q8BHY8	Q9Y5W7
Q8BHZ0	Q9H0Q0
Q8BHZ4	Q92610
Q8BHZ5	Q9BWK5
Q8BI06	Q8WUJ3
Q8BI08	Q969L2
Q8BI17	A6NKC9
Q8BI21	Q9H0F5
Q8BI22	Q6ZU80
Q8BI29	Q9BW04
Q8BI36	Q9P055
Q8BI41	P60508
Q8BI55	Q9NR20
Q8BI66	Q8TF50
Q8BI67	Q8WTR7
Q8BI69	Q8NCA9
Q8BI71	Q86VI1
Q8BI72	Q9NXV6
Q8BI73	Q96BV0
Q8BI79	Q4G0X9
Q8BI84	Q5JRA6
Q8BI99	B4DU55
Q8BIA3	Q8IYA7
Q8BIA4	Q8N3Y1
Q8BID6	Q86UZ6
Q8BID8	Q8N1E6
Q8BIE6	Q9P2Q2
Q8BIF0	Q8TCZ2
Q8BIF9	Q6DD87
Q8BIG2	Q8TD35
Q8BIG4	Q9NVF7
Q8BIG7	Q86VU5
Q8BIH0	Q9H0E3
Q8BII1	Q3B8N5
Q8BIJ6	Q9NSE4
Q8BIJ7	Q96T51
Q8BIK4	Q9BZ29
Q8BIK6	Q7RTY8
Q8BIL2	Q6ZTZ1
Q8BIL5	Q9UJC3
Q8BIP0	Q6PI48
Q8BIQ3	Q9BSG1
Q8BIQ5	P33240
Q8BIQ8	Q6IQ21
Q8BIR2	Q2TB18
Q8BIS8	Q96EE4
Q8BIV3	O60518
Q8BIV7	Q9Y2W3
Q8BIW1	Q86TP1
Q8BIW9	Q8WVB6
Q8BIX3	Q8N8R7
Q8BIX9	Q9BVA6
Q8BIY1	Q96I76
Q8BIY3	A2A288
Q8BIZ0	Q8N6Y1
Q8BIZ1	Q7Z6G8
Q8BIZ6	Q8TAD8
Q8BJ03	Q7KZN9
Q8BJ05	Q6PJT7
Q8BJ25	Q8WTV1
Q8BJ34	Q9Y4F3
Q8BJ37	Q9NUW8
Q8BJ42	Q9P1A6
Q8BJ48	Q9UK23
Q8BJ51	O43934
Q8BJ52	Q32ZL2
Q8BJ56	Q96AD5
Q8BJ63	Q9H0R1
Q8BJ64	Q8NE62
Q8BJ66	Q96I82
Q8BJ71	Q8N1F7
Q8BJ73	Q2I0M5
Q8BJ83	Q9BRN9
Q8BJ90	Q7L3S4
Q8BJA2	Q8IVJ1
Q8BJA3	Q6NT76
Q8BJD1	Q86UX2
Q8BJE2	Q6UXG8
Q8BJF9	Q9UQN3
Q8BJG4	Q70IA8
Q8BJH1	Q96GY0
Q8BJI1	Q9H1V8
Q8BJK1	Q96MP8
Q8BJL0	Q9NZC9
Q8BJL1	Q8TB52
Q8BJM3	Q7Z5L2
Q8BJM5	Q6NXT4
Q8BJM7	Q9NV66
Q8BJN4	Q8TBE3
Q8BJQ2	O94782
Q8BJQ4	Q86XR7
Q8BJQ9	Q8TDX6
Q8BJR6	Q9BQR3
Q8BJS4	Q9UH99
Q8BJS7	Q9P2G4
Q8BJS8	Q96DY7
Q8BJT9	Q9BV94
Q8BJU0	O43765
Q8BJU2	O75954
Q8BJU9	Q9UGC7
Q8BJW5	Q9H8H0
Q8BJW6	Q9BY44
Q8BJW7	Q96AY2
Q8BJY1	Q16401
Q8BJZ3	Q969X1
Q8BJZ4	P82673
Q8BK03	Q7L4E1
Q8BK06	Q9UK97
Q8BK08	P17152
Q8BK26	Q9H4M3
Q8BK30	P56181
Q8BK35	Q9NZM5
Q8BK58	Q96EW2
Q8BK62	Q9NRN5
Q8BK63	P48729
Q8BK64	O95433
Q8BK67	Q9P258
Q8BK72	Q92552
Q8BK75	Q0PNE2
Q8BK84	Q68J44
Q8BKA3	A7MD48
Q8BKC5	O00410
Q8BKC8	Q9UBF8
Q8BKD6	Q7Z419
Q8BKE5	O95073
Q8BKE6	Q6UW02
Q8BKE9	Q96LB3
Q8BKF1	O00411
Q8BKG3	Q13308
Q8BKG4	Q9ULW2
Q8BKH7	Q9BPZ7
Q8BKI2	Q9UPQ9
Q8BKJ9	Q9NRC8
Q8BKK4	Q8WVI7
Q8BKK5	Q96CS4
Q8BKN5	Q96RT8
Q8BKN6	Q9Y663
Q8BKR5	O75864
Q8BKS9	Q15397
Q8BKT2	Q9BYE0
Q8BKT3	P16383
Q8BKT6	O95859
Q8BKT7	Q13769
Q8BKT8	Q99871
Q8BKU8	Q96K49
Q8BKV0	Q9BQ16
Q8BKV1	Q8N158
Q8BKW4	Q9H5U6
Q8BKX1	Q9UQB8
Q8BKX6	Q96Q15
Q8BKX7	Q86VK4
Q8BKY8	Q49AM1
Q8BKZ9	O00330
Q8BL00	Q6ZTQ4
Q8BL03	Q8N8R3
Q8BL06	Q70EL1
Q8BL07	Q8NGU9
Q8BL43	A6NK89
Q8BL48	Q9C0B0
Q8BL65	Q6H8Q1
Q8BL66	Q15075
Q8BL74	Q8WUA4
Q8BL80	Q7Z5H3
Q8BL86	Q68D91
Q8BL95	P57076
Q8BL97	Q16629
Q8BL99	Q5JWR5
Q8BLA1	Q9Y238
Q8BLA8	O75762
Q8BLB0	Q96NJ6
Q8BLB7	Q96JM7
Q8BLB8	P0C6C1
Q8BLC3	Q8N2G4
Q8BLD6	Q3KP44
Q8BLD9	P21918
Q8BLE7	Q9P2U8
Q8BLF1	Q6PIU2
Q8BLF2	Q8IVW4
Q8BLG0	Q9BVI0
Q8BLG2	Q99677
Q8BLH5	Q9UI38
Q8BLH7	Q9BW71
Q8BLI0	Q8N6G6
Q8BLI4	Q9UL01
Q8BLJ3	Q63HM9
Q8BLK3	Q13449
Q8BLK9	Q96S38
Q8BLM0	O95600
Q8BLN5	P48449
Q8BLN6	Q8N2C7
Q8BLQ0	Q9H5Z6
Q8BLQ7	O43246
Q8BLQ9	Q8N3J6
Q8BLR2	Q96A23
Q8BLR5	Q8NDX1
Q8BLR7	Q92730
Q8BLR9	Q9NWT6
Q8BLS7	Q2M3V2
Q8BLU0	O43155
Q8BLU2	Q5VZV1
Q8BLV3	Q96T83
Q8BLX4	Q96A29
Q8BLX7	Q07092
Q8BLY1	Q9H4F8
Q8BLY2	A2RTX5
Q8BLY3	Q9BTN0
Q8BLY7	Q86YV9
Q8BM13	O95897
Q8BM14	Q5VXJ0
Q8BM15	Q6UXA7
Q8BM39	Q99633
Q8BM47	Q6ZWE6
Q8BM54	Q8WY64
Q8BM55	Q6NUQ4
Q8BM65	Q9P242
Q8BM72	P48723
Q8BM75	Q14865
Q8BM85	Q8TEA7
Q8BM86	Q9Y693
Q8BM88	P43234
Q8BM89	Q5FYB0
Q8BM92	Q9ULB5
Q8BM96	Q96K78
Q8BMA3	Q6P9H4
Q8BMA5	Q14207
Q8BMA6	Q9UHB9
Q8BMB0	Q7Z589
Q8BMB3	O60573
Q8BMC0	P43657
Q8BMC1	Q96LB4
Q8BMC3	P98077
Q8BMC4	Q86U38
Q8BMD2	Q86YF9
Q8BMD5	Q9BWV3
Q8BMD6	Q9NX78
Q8BMD7	Q8TE76
Q8BMD8	Q6NUK1
Q8BME9	Q9NTU7
Q8BMF3	Q16798
Q8BMF4	P10515
Q8BMF5	Q16099
Q8BMF8	Q6ZMI3
Q8BMG1	Q8WXE1
Q8BMG7	Q9H2M9
Q8BMG8	Q9H2D1
Q8BMI3	Q9NZ52
Q8BMI4	Q17RS7
Q8BMJ2	Q9P2J5
Q8BMJ3	O14602
Q8BMJ7	Q99675
Q8BMJ8	Q8IXZ3
Q8BMK0	Q6P2H3
Q8BMK1	Q96IZ6
Q8BMK4	Q07065
Q8BMK5	Q52MB2
Q8BML1	O94851
Q8BMN3	Q05901
Q8BMN4	Q96KR4
Q8BMP4	Q99527
Q8BMP6	Q9H3P7
Q8BMQ2	Q9UKN8
Q8BMQ3	Q6ZN30
Q8BMQ8	Q7L1V2
Q8BMS1	P40939
Q8BMS2	Q9BUD6
Q8BMS4	Q9NZJ6
Q8BMS9	P50749
Q8BMT4	Q86YC3
Q8BMT9	Q5VTY9
Q8BMU0	P36508
Q8BMW7	Q6NVV3
Q8BMZ5	Q9BSV6
Q8BN21	Q86Y07
Q8BN57	Q6P1S2
Q8BN58	Q9P2N2
Q8BN59	Q9BRS8
Q8BN78	Q86T24
Q8BN82	Q9NRA2
Q8BND3	Q9P2L0
Q8BND4	Q5JSJ4
Q8BND5	O00391
Q8BNE1	Q9Y4C2
Q8BNI4	Q9GZP9
Q8BNJ2	O75173
Q8BNJ3	Q9BZQ4
Q8BNJ6	Q8NC67
Q8BNL5	Q8NC69
Q8BNN1	Q8IUW3
Q8BNQ3	O60478
Q8BNU0	Q6NXE6
Q8BNV1	Q8IZ69
Q8BNW9	O94819
Q8BNX1	Q6UXB4
Q8BNX7	Q8N912
Q8BNY6	P62166
Q8BP00	Q15051
Q8BP01	Q2NL98
Q8BP07	Q6QAJ8
Q8BP22	A1XBS5
Q8BP27	Q86XK3
Q8BP31	Q9H9V4
Q8BP40	Q9NPH0
Q8BP47	O43776
Q8BP48	P53582
Q8BP56	Q32M88
Q8BP67	P83731
Q8BP71	O43251
Q8BP74	Q8IV42
Q8BP78	Q70Z53
Q8BP86	Q5SXM2
Q8BP92	Q14257
Q8BP97	Q9Y3P4
Q8BP99	Q8TAB5
Q8BPA8	Q9BVM2
Q8BPB0	Q7L9L4
Q8BPB5	Q12805
Q8BPE4	Q53S58
Q8BPG6	Q8NBJ7
Q8BPI1	Q9NVR5
Q8BPK2	Q9NUD5
Q8BPM0	Q9Y4D1
Q8BPM2	Q9Y4K4
Q8BPM6	Q7Z5B4
Q8BPN8	Q8TDJ6
Q8BPP0	Q9C0F3
Q8BPP1	Q9Y586
Q8BPP5	Q86Y78
Q8BPQ7	Q2NKQ1
Q8BPS4	Q86V85
Q8BPT6	Q96T52
Q8BPU7	Q92556
Q8BPW0	Q1A5X6
Q8BPX9	Q8IY34
Q8BPY9	Q6PIW4
Q8BPZ8	Q6UWZ7
Q8BQ30	Q6NYC8
Q8BQ33	Q7Z2Z1
Q8BQ47	Q8N129
Q8BQ48	Q9C0D2
Q8BQ86	Q9H2A9
Q8BQ89	Q8IVB5
Q8BQB4	Q86VR8
Q8BQB6	Q658L1
Q8BQC3	Q8IVU1
Q8BQC8	Q9NYW8
Q8BQH4	Q8IYN6
Q8BQH6	Q5VXM1
Q8BQJ6	Q96GJ1
Q8BQM4	Q7Z4Q2
Q8BQM7	A2RU48
Q8BQM8	Q05BV3
Q8BQM9	Q86YW9
Q8BQN5	Q5VT40
Q8BQN6	Q15072
Q8BQP8	Q86YS3
Q8BQP9	Q6MZT1
Q8BQQ1	Q8IZN3
Q8BQR4	Q9H9L4
Q8BQR7	Q96M61
Q8BQS4	Q5T8I3
Q8BQS5	Q86V24
Q8BQT2	Q0P6D2
Q8BQU3	Q9NRP4
Q8BQU6	Q5T442
Q8BQU7	Q96NL1
Q8BQX5	Q96DC7
Q8BQY8	O60921
Q8BQZ4	Q86X10
Q8BQZ5	O95639
Q8BQZ8	Q9BQ31
Q8BR07	Q96G01
Q8BR21	Q6UWF9
Q8BR27	Q7L5A3
Q8BR37	Q6VVB1
Q8BR65	Q9H7L9
Q8BR70	Q96EC8
Q8BR76	Q5HYA8
Q8BR86	Q8IZU9
Q8BR90	A6NDU8
Q8BR93	Q96MB7
Q8BRC6	Q7Z4T9
Q8BRE0	Q7Z3Z2
Q8BRF7	Q8WVM8
Q8BRG6	Q6TFL4
Q8BRG8	Q96SK2
Q8BRH0	Q6ZXV5
Q8BRH3	Q14CB8
Q8BRH4	Q8NEZ4
Q8BRJ3	Q8NC24
Q8BRJ4	Q9H7J1
Q8BRK8	P54646
Q8BRK9	P49641
Q8BRM2	Q5T7V8
Q8BRM6	A8MW99
Q8BRN9	Q5T0F9
Q8BRT1	O75122
Q8BRU4	Q6UXN8
Q8BRU6	Q05940
Q8BRX9	Q86UD3
Q8BS03	O43692
Q8BS35	Q6ZNB7
Q8BS39	Q9BV29
Q8BS40	Q5TA50
Q8BS45	A0AVF1
Q8BS90	Q6PGQ7
Q8BS95	B7ZAQ6
Q8BS95	P0CG08
Q8BSA9	Q6IPR3
Q8BSD4	Q96KN9
Q8BSD5	Q5VZ18
Q8BSE0	Q96LZ7
Q8BSF4	Q9UG56
Q8BSF5	Q2WGJ6
Q8BSK8	P23443
Q8BSL4	Q8IZT8
Q8BSM5	Q8WWW8
Q8BSM7	O75387
Q8BSN3	A5D8V7
Q8BSN5	Q9BUL5
Q8BSN9	Q14CZ7
Q8BSP2	Q6IBW4
Q8BSQ9	Q86U86
Q8BSS9	O75334
Q8BST6	Q9HAT8
Q8BSU2	Q9H2A7
Q8BSU7	Q96BX8
Q8BSV3	Q8N7W2
Q8BSY0	Q12797
Q8BSZ2	P59780
Q8BT07	Q53EZ4
Q8BT14	O95628
Q8BT18	Q86TY3
Q8BT42	Q71RC9
Q8BT51	Q9NYJ1
Q8BT60	O75131
Q8BT88	A8MZG2
Q8BTC1	Q69YU5
Q8BTE0	Q5VUM1
Q8BTF7	P49917
Q8BTF8	Q86SE5
Q8BTG3	Q9NUJ3
Q8BTG6	Q9H741
Q8BTG7	Q9ULP0
Q8BTH6	Q9NQ03
Q8BTH8	Q9HCP0
Q8BTI7	Q8NB46
Q8BTI9	P42338
Q8BTJ4	Q9Y6X5
Q8BTK5	Q8IYR2
Q8BTM8	P21333
Q8BTM9	Q8TDF6
Q8BTN6	Q96B70
Q8BTP0	Q86VD9
Q8BTQ0	Q3KNV8
Q8BTR5	Q4G0W2
Q8BTS4	Q7Z3B4
Q8BTT6	Q68CQ4
Q8BTU1	Q9Y6A4
Q8BTU7	A6NED2
Q8BTV1	Q13454
Q8BTV2	Q8N684
Q8BTW3	Q5RKV6
Q8BTW8	Q96SZ6
Q8BTW9	O96013
Q8BTX9	Q3SXM5
Q8BTY1	Q16773
Q8BTY2	Q9Y6M7
Q8BTY8	Q8WU76
